RAT_ID	SESSION	BOX	GROUP	SEX	Correct	Cor_15	Cor_30	Incorrect	Timeout	Norm_TO	Lev_Discrimination	Lat_1st	Lat_3rd	Lat_5th	Load_Lat3	Load_Lat5	Burst_Episodes	Avg_Burst_Presses	Avg_Burst_Duration	Burst_Infusions	Burst_Ratio	Avg_Inter_Burst_Interval	Avg_Inter_Inf_Interval
RAT3	LGA1	4	OXY	M	152	9	12	68	1028	6.76315789473684	69.0909090909091	0.0488333333333333	1.11683333333333	2.83166666666667	1.068	2.78283333333333	16	5.8125	2.403125	93	61.1842105263158	44.4413888888889	4.66934326710817
RAT5	LGA1	5	OXY	M	55	7	9	23	45	0.818181818181818	70.5128205128205	0.142	1.72716666666667	9.03416666666667	1.58516666666667	8.89216666666667	5	3.8	1.90296666666667	19	34.5454545454545	141.128666666667	13.0483703703704
RAT6	LGA1	6	OXY	M	49	4	5	72	17	0.346938775510204	40.495867768595	0.809333333333333	2.9425	18.1696666666667	2.13316666666667	17.3603333333333	0	NaN	NaN	0	0	NaN	14.4293611111111
RAT8	LGA1	7	OXY	M	74	6	7	405	54	0.72972972972973	15.4488517745303	0.179	1.83166666666667	13.7113333333333	1.65266666666667	13.5323333333333	1	3	1.65266666666667	3	4.05405405405405	NaN	9.69317351598174
RAT1	LGA1	9	SAL	M	113	4	4	34	76	0.672566371681416	76.8707482993197	0.428	8.65066666666667	96.1035	8.22266666666667	95.6755	9	5.66666666666667	2.87785185185185	51	45.1327433628319	42.72775	5.83508928571429
RAT2	LGA1	10	SAL	M	43	7	10	17	20	0.465116279069767	71.6666666666667	0.0263333333333333	1.53766666666667	3.67733333333333	1.51133333333333	3.651	2	3.5	1.90525	7	16.2790697674419	429.665	16.0650396825397
RAT4	LGA1	11	SAL	M	74	0	0	17	44	0.594594594594595	81.3186813186813	257.326833333333	340.057333333333	341.2115	82.7305	83.8846666666666	8	3.5	1.79570833333333	28	37.8378378378378	39.8704523809524	5.49740867579909
RAT7	LGA1	12	SAL	M	64	3	4	22	24	0.375	74.4186046511628	0.0445	1.72366666666667	88.0555	1.67916666666667	88.011	6	3.83333333333333	2.10227777777778	23	35.9375	109.741666666667	9.70466137566138
RAT17	LGA1	1	OXY	M	93	6	9	17	92	0.989247311827957	84.5454545454545	0.724	4.09333333333333	7.01133333333333	3.36933333333333	6.28733333333333	6	3.66666666666667	1.24516666666667	22	23.6559139784946	51.9762333333333	7.59879710144928
RAT19	LGA1	2	OXY	M	229	13	15	17	1694	7.39737991266376	93.0894308943089	0.0393333333333333	0.969166666666667	2.26366666666667	0.929833333333333	2.22433333333333	25	7.76	2.99912666666667	194	84.7161572052402	22.2353402777778	3.11986403508772
RAT20	LGA1	3	OXY	M	147	7	9	24	256	1.74149659863946	85.9649122807018	0.0533333333333333	1.1675	1.93933333333333	1.11416666666667	1.886	15	4.8	1.98847777777778	72	48.9795918367347	43.9273928571429	4.57725
RAT21	LGA1	4	OXY	M	192	6	8	26	3530	18.3854166666667	88.0733944954129	0.1105	3.68433333333333	7.9875	3.57383333333333	7.877	26	5.57692307692308	1.89082051282051	145	75.5208333333333	21.1842066666667	3.69096247818499
RAT16	LGA1	8	SAL	M	92	5	5	20	26	0.282608695652174	82.1428571428571	0.0143333333333333	0.966833333333333	8.1365	0.9525	8.12216666666667	8	3.125	1.62377083333333	25	27.1739130434783	82.6373571428571	7.90817948717949
RAT23	LGA1	9	SAL	M	81	3	3	17	38	0.469135802469136	82.6530612244898	0.047	4.57666666666667	61.7353333333333	4.52966666666667	61.6883333333333	4	3.25	1.78933333333333	13	16.0493827160494	201.326722222222	8.887175
